Session,Day,Turnover,Player_Name,Drill,Duration,Relative_distance,Z4_relative_distance,Z5_relative_distance,Z6_relative_distance,Relative_HSD,Relative_sprint_distance,Relative_accelerations,Relative_decelerations,Max_speed
2,MD-3,6,Zada,Possession Game 9vs6,3.0,369,33,6,0,1.98,5,1.35,1.69,22.0
2,MD-3,6,Zada,Possession Game 9vs6,3.0,303,48,0,0,0.0,0,2.0,1.66,18.17
2,MD-3,6,Zada,Tactical 11vs11,4.3,422,38,11,0,2.51,11,1.62,1.62,24.94
2,MD-3,6,Zada,Tactical 11vs11,4.0,468,63,23,11,8.41,27,1.74,1.74,28.61
2,MD-3,6,Zada,Tactical 11vs11,3.8,380,50,10,0,2.58,10,0.53,1.31,23.97
2,MD-3,6,Zada,Tactical 11vs11,4.0,333,9,0,0,0.0,0,0.5,0.5,18.89
2,MD-3,6,Zada,Tactical 11vs11,4.1,367,14,1,0,0.28,5,0.0,0.0,21.69
2,MD-3,6,Kasa,Possession Game 9vs6,3.0,436,98,4,0,1.32,0,2.01,4.03,20.43
2,MD-3,6,Kasa,Possession Game 9vs6,3.0,290,3,0,0,0.0,0,2.67,2.0,17.2
2,MD-3,6,Kasa,Possession Game 9vs6,3.0,413,89,11,0,3.72,9,2.3,1.97,23.86
2,MD-3,6,Kasa,Possession Game 9vs6,3.0,387,62,0,0,0.0,0,2.32,2.98,19.44
2,MD-3,6,Kasa,Tactical 11vs11,4.3,563,91,27,1,6.31,24,0.93,1.16,25.43
2,MD-3,6,Kasa,Tactical 11vs11,4.0,568,119,22,10,8.07,38,0.75,1.0,28.78
2,MD-3,6,Kasa,Tactical 11vs11,3.8,456,58,6,0,1.66,7,0.53,1.05,21.87
2,MD-3,6,Kasa,Tactical 11vs11,4.0,440,26,36,1,9.35,41,0.76,0.5,25.64
2,MD-3,6,Kasa,Tactical 11vs11,4.1,528,110,22,0,5.4,24,0.48,0.97,23.36
2,MD-3,6,Zoabi,Possession Game 9vs6,3.0,350,33,7,0,2.36,8,1.01,3.36,24.19
2,MD-3,6,Zoabi,Possession Game 9vs6,3.0,311,8,0,0,0.0,0,1.0,1.0,17.25
2,MD-3,6,Zoabi,Possession Game 9vs6,3.0,345,50,1,0,0.18,0,0.99,2.63,20.16
2,MD-3,6,Zoabi,Possession Game 9vs6,3.0,261,11,0,0,0.0,0,3.31,0.99,17.76
2,MD-3,6,Zoabi,Tactical 11vs11,4.3,408,17,0,0,0.0,0,0.7,0.7,19.54
2,MD-3,6,Zoabi,Tactical 11vs11,4.0,450,49,21,6,6.58,34,1.24,0.25,27.24
2,MD-3,6,Zoabi,Tactical 11vs11,3.8,388,73,5,0,1.32,0,1.05,2.36,20.62
2,MD-3,6,Zoabi,Tactical 11vs11,4.0,412,65,40,0,10.19,51,1.01,1.01,24.44
2,MD-3,6,Zoabi,Tactical 11vs11,4.1,453,70,5,0,1.23,11,1.45,1.21,20.93
2,MD-3,6,Hamani,Possession Game 9vs6,3.0,385,34,0,0,0.0,0,1.01,2.35,17.7
2,MD-3,6,Hamani,Possession Game 9vs6,3.0,416,76,6,0,1.95,9,3.0,2.67,22.56
2,MD-3,6,Hamani,Possession Game 9vs6,3.0,387,70,5,0,1.72,6,1.35,3.71,20.98
2,MD-3,6,Hamani,Possession Game 9vs6,3.0,382,42,0,0,0.0,0,1.0,1.0,18.56
2,MD-3,6,Hamani,Tactical 11vs11,4.3,476,64,10,1,2.39,11,1.16,1.16,25.44
2,MD-3,6,Hamani,Tactical 11vs11,4.0,517,79,23,0,5.82,29,1.24,1.74,24.2
2,MD-3,6,Hamani,Tactical 11vs11,3.8,420,37,18,0,4.8,20,0.79,0.53,24.25
2,MD-3,6,Hamani,Tactical 11vs11,4.0,412,51,13,0,3.38,11,0.76,0.25,23.21
2,MD-3,6,Hamani,Tactical 11vs11,4.1,521,74,62,10,17.56,78,0.97,1.21,28.89
2,MD-3,6,Yehezkel,Possession Game 9vs6,3.0,339,60,4,0,1.33,4,3.02,4.36,21.22
2,MD-3,6,Yehezkel,Possession Game 9vs6,3.0,315,47,0,0,0.0,0,3.66,1.67,18.73
2,MD-3,6,Yehezkel,Possession Game 9vs6,3.0,367,39,11,2,4.38,11,2.3,2.63,27.5
2,MD-3,6,Yehezkel,Possession Game 9vs6,3.0,254,22,9,0,2.86,14,2.65,0.99,22.02
2,MD-3,6,Yehezkel,Tactical 11vs11,4.3,419,33,24,9,7.8,35,0.93,0.46,27.39
2,MD-3,6,Yehezkel,Tactical 11vs11,4.0,403,42,32,13,11.1,50,1.74,1.24,29.33
2,MD-3,6,Yehezkel,Tactical 11vs11,3.8,443,46,36,3,10.12,38,1.31,1.31,26.25
2,MD-3,6,Yehezkel,Tactical 11vs11,4.0,387,54,16,0,4.1,24,1.51,0.76,22.65
